rank,domain,category,fit_score,composite_score,domain_rating_estimate,dr_label,recent_article_date,recent_article_url,recent_article_title,doelgroep_match,doelgroep_omschrijving,fit_motivation,pitch_angle,submission_proces_hint,submission_url_hint,first_impression,source_query,verified_via,agent_id
94,allesoverhr.nl,C13,4,0.635,MEDIUM (DR 30-60),estimated,2026-01,https://www.allesoverhr.nl/themas/voorspellingen-voor-de-arbeidsmarkt-in-2026/,Voorspellingen voor de arbeidsmarkt in 2026,HR,"HR-managers, recruiters en HR-professionals in Nederland; nieuws, trends en expertcontent.",Breed HR-platform met expertensectie en thema-artikelen — past goed bij gastartikel over verzuim/burn-out vanuit HR-perspectief.,AI-gedreven HR ontmoet het zenuwstelsel: waarom data-gedreven HR niet zonder lichaamskennis kan om burn-out te voorkomen.,pitch via redactie,https://www.allesoverhr.nl/contact/,Platform Alles over HR met expertcontent - HR-doelgroep.,Tijdschrift voor HRM gastauteur artikel,WebSearch,A
95,arboconcern.nl,C2|C16|C9,4,0.635,MEDIUM (DR 30-60),estimated,2026-03-25,https://www.arboconcern.nl/blog/plan-van-aanpak-voor-reintegratie:-voorbeeld-met-invulvelden,Plan van aanpak voor reintegratie: voorbeeld met invulvelden,HR,"Werkgevers en HR-managers die te maken hebben met ziekteverzuim, re-integratie en Wet verbetering poortwachter.",Actief verzuim-blog gericht op werkgevers met focus op PSA en langdurig verzuim — directe inhoudelijke match met zenuwstelsel-thema.,Wat de Arbeidsinspectie focus op PSA betekent voor werkgevers: zenuwstelsel-regulatie als concrete preventieve interventie.,geen info gevonden,niet gevonden,Arbodienst-blog met inhoudelijke verzuim-gerelateerde artikelen.,burnout verzuim arbo,WebSearch,E
96,cs-opleidingen.nl,C2,4,0.635,MEDIUM (DR 30-60),estimated,2025-12,https://cs-opleidingen.nl/actueel/iva-opleidingen-sluit-aan-bij-certify360-nieuwe-directeur-voor-cs-opleidingen,IVA Opleidingen sluit aan bij Certify360: nieuwe directeur voor CS Opleidingen,arbo,"Casemanagers, RCMS-professionals en arbeidsdeskundigen die zich opleiden of bijscholen.",Doelgroep casemanagers/regie verzuim is exact passend bij verzuim/burn-out content; opleider met boekenpublicatielijn biedt mogelijk gastauteursruimte.,Zenuwstelselregulatie als instrument voor casemanagers bij vastgelopen verzuimtrajecten.,pitch via redactie,niet gevonden,Opleider voor casemanagement met blog/actueel-sectie en studentbijdragen.,RCMS casemanagement,WebSearch,F
97,hsk.nl,C11,4,0.635,MEDIUM (DR 30-60),estimated,2026-04-09,https://hsk.nl/nieuws/,HSK en Vitalmindz fuseren onder de naam HSK,psycholoog,"Werknemers met psychische klachten, hun werkgevers/HR en verwijzers; HSK biedt zowel client- als werkgevers-trajecten.",Grote landelijke GGZ-keten met expliciete werkgevers-sectie en actieve nieuwsblog; doelgroep en thematiek matchen sterk.,"Zenuwstelsel-regulatie als preventieve schakel voor werkgevers, voorafgaand aan klinische HSK-zorg.",geen info gevonden,niet gevonden,HSK Groep - psychologische zorg en mental coaching voor werknemers met nieuwsblog.,mental coach blog NL stress werknemer,WebSearch,D
98,imkopleidingen.nl,C1|C13,4,0.635,MEDIUM (DR 30-60),estimated,2026-01-15,https://www.imkopleidingen.nl/thema/persoonlijke-effectiviteit/,"Persoonlijke effectiviteit | artikelen, podcasts en trainingen",HR,"HR-professionals, leidinggevenden en personeelszaken-medewerkers die zich willen verdiepen via opleidingen, podcasts en artikelen.","HR-opleider met content over werkgeluk, gespreksvaardigheden, persoonlijke effectiviteit; passende doelgroep en redactionele structuur (podcasts, artikelen) ondersteunen expert-bijdragen.",Persoonlijke effectiviteit met polyvagale lens: hoe leidinggevenden hun eigen zenuwstelsel reguleren als basis voor effectief leiderschap.,pitch via redactie,niet gevonden,HR-opleider met artikelen en podcasts; kennisruimte voor HR-expertise.,expertbijdrage HR,WebSearch,C
99,leidinggeven.com,C6,4,0.635,MEDIUM (DR 30-60),estimated,2026-05-18,https://leidinggeven.com/beslissingen-nemen,Beslissingen nemen als leidinggevende? 9 tips,HR,Managers en leidinggevenden in Nederland die praktische tips zoeken (Tijdwinst/Bjorn netwerk).,Sterke leidinggevenden-doelgroep met praktische blog; perfecte plek voor pitch over leidinggeven en verzuim/burn-out.,Goed leidinggeven begint bij je eigen zenuwstelsel: 5 tools waarmee managers burn-out in hun team voorkomen.,geen info gevonden,niet gevonden,Specialistenplatform over leidinggeven met praktische tips,leidinggeven blog Nederland artikel,WebSearch,A
100,nationalezorggids.nl,C12,4,0.635,MEDIUM (DR 30-60),estimated,2025-2026,https://www.nationalezorggids.nl/zorgverzekering/basispakket-2026-dit-zijn-de-opvallendste-veranderingen/,Basispakket 2026: dit zijn de opvallendste veranderingen,zorgprof,"Zorgprofessionals, mantelzorgers en geïnteresseerden in zorgnieuws, ouderenzorg, GGZ en zorgverzekeringen.",Breed zorgnieuwsplatform met dagelijkse updates en betaalde gastblog-optie; goede mogelijkheid voor verzuim-/burn-out-content gericht op zorgwerkgevers.,Verzuim in de zorg aanpakken vanuit het zenuwstelsel: praktische handvatten voor zorginstellingen die personeel willen behouden.,open call,niet gevonden,Zorgnieuwsplatform met betaalde maar laagdrempelige gastblogoptie voor professionals.,Nationale Zorggids artikel insturen,WebSearch,C
101,transvorm.org,C15,4,0.635,MEDIUM (DR 30-60),estimated,2026-01,https://www.transvorm.org/actueel/nieuws/sterk-in-je-werk-stopt/,"Sterk in je werk stopt, aandacht voor behoud blijft",zorgprof,"HR, P&O en bestuurders bij zorg- en welzijnswerkgevers in Noord-Brabant.",Regionale werkgeversorganisatie zorg/welzijn met actuele nieuws en behoud-/inzetbaarheidsthematiek; sterke match voor zenuwstelsel-content bij hoog-belaste zorgmedewerkers.,Behoud van zorgmedewerkers in 2026 via zenuwstelsel-regulatie: praktische tools na het stoppen van Sterk in je werk.,pitch via redactie,niet gevonden,Regionale werkgeversorganisatie zorg/welzijn Brabant met blogs en artikelen.,Transvorm zorg arbeidsmarkt,WebSearch,D
102,werkenveiligheid.nl,C2|C12,4,0.635,MEDIUM (DR 30-60),estimated,2025-12-22,https://www.werkenveiligheid.nl/rie/nieuwe-regels-voor-werken-met-lood-en-diisocyanaten-april-2026,Nieuwe regels voor werken met lood en diisocyanaten per april 2026,arbo,"Arbo-coördinatoren, preventiemedewerkers en HR-managers die RI&E en sociale veiligheid moeten regelen.","Kennisplatform met expliciete dossiers over duurzame inzetbaarheid, sociale veiligheid en preventie; actieve content; ideale doelgroep arbo/HR-preventie.",Sociale veiligheid begint met zenuwstelsel-veiligheid: een nieuwe lens op preventiebeleid en RI&E.,pitch via redactie,niet gevonden,Kennisplatform over preventie RI&E en sociale veiligheid; vitaliteitsbeleid en duurzame inzetbaarheid.,vitaliteit werk preventie,WebSearch,C
103,wij-leren.nl,C15,4,0.635,MEDIUM (DR 30-60),estimated,2025-12-02,https://wij-leren.nl/strategisch-HR-beleid-voor-onderwijsorganisaties.php,Strategisch HR-beleid voor onderwijsorganisaties,onderwijs,"Schoolleiders, leraren en HR-functionarissen in primair en voortgezet onderwijs die kennis zoeken over werkdruk, HR-beleid en CAO.","Onderwijskennisbank met meerdere actuele werkdruk-artikelen + strategische HR-beleid-content — auteurs uit het veld, gastbijdragen waarschijnlijk welkom.",Werkdruk-aanpak via zenuwstelsel-regulatie: praktische uitbreiding op de werkdrukbespreekbaarmaken-serie.,pitch via redactie,niet gevonden,Onderwijskennisbank met begrippenpagina's over HRM.,onderwijs HR blog NL,WebSearch,B
104,goingconcern.nl,C16,4,0.635,LOW (DR <30),estimated,2026-05-27,https://www.goingconcern.nl/blog/de-rol-van-een-re-integratiecoach:-wat-kun-je-verwachten,De rol van een re-integratiecoach uitgelegd,HR,"Werkgevers, HR en werknemers betrokken bij 2e-spoor re-integratie en burn-outherstel.",Zeer actieve blog (meerdere posts per maand) precies op burn-out/re-integratie-thema; sterke contentmarketing-cultuur die gastartikelen aannemelijk maakt.,Hoe zenuwstelsel-regulatie 2e-spoor re-integratie versnelt en terugval voorkomt — praktisch voor HR.,pitch via redactie,niet gevonden,Re-integratiebureau met blog gericht op werkgevers en burn-outtrajecten.,burn-out re-integratie blog,WebSearch,D
105,matchvermogen.nl,C2,4,0.635,LOW (DR <30),estimated,2026-03-30,https://matchvermogen.nl/,Logistiek sector en verzuim (arbeidsdeskundig advies),arbo,"Werkgevers, HR en verzuim-/re-integratiespecialisten die arbeidsdeskundig-onderzoek-content en sociale-zekerheid-vragen zoeken.","Actief blog (8+ recente artikelen 2025-2026) over arbeidsdeskundig onderzoek + verzuim — sterke thema-match, gastauteur waarschijnlijk welkom.",Hoe een arbeidsdeskundige zenuwstelsel-signalen leest om complexe verzuim-casussen sneller op te lossen.,pitch via redactie,niet gevonden,Arbeidsdeskundig blog over duurzame inzetbaarheid en sociale zekerheid.,arbeidsdeskundige blog,WebSearch,B
106,vitaliblij.nl,C7,4,0.635,LOW (DR <30),estimated,2026-02-16,https://www.vitaliblij.nl/wat-levert-een-vitaliteitsprogramma-echt-op/,Wat levert een vitaliteitsprogramma echt op? - VitaliBlij,HR,"HR-managers, directies en gemeenten die strategisch vitaliteitsmanagement inzetten.",Specialist blog rond vitaliteitsmanagement in gemeenten/organisaties met actuele 2026-content; gastexpert-bijdrage past goed bij blog-format.,Wat een vitaliteitsprogramma echt oplevert: zenuwstelselregulatie als de meetbare interventiecomponent.,pitch via redactie,niet gevonden,Blog gericht op vitaliteit binnen gemeenten en organisaties.,Menzis werkgever vitaliteit blog,WebSearch,F
107,icthealth.nl,C12,3,0.63,MEDIUM (DR 30-60),estimated,2026,https://www.icthealth.nl/nieuws/vijf-digitale-zorgtrends-voor-2026,Vijf digitale zorgtrends voor 2026,zorgprof,"Zorgprofessionals, CIO/IT en innovatiemanagers in NL gezondheidszorg.","Bekend vakblad zorg-IT met open redactie; thematisch grenzend aan e-health en mentale gezondheid, niet primair HR/verzuim.",Digitale tools voor zenuwstelsel-regulatie in de zorg: waarom HRV-data de volgende stap is in verzuimpreventie.,open call,https://www.icthealth.nl/nieuws/sloop-de-conventie-een-kans-nu-insturen-the-most-innovative-session,Vakblad zorginnovatie met laagdrempelig contact voor gastartikelen via redactie.,ICT Health Nederland artikel insturen,WebSearch,A
108,han.nl,C13,4,0.62,HIGH (DR 60+),estimated,2025-2026,https://www.han.nl/onderzoek/lectoraten/lectoraat-human-capital-innovations/,Lectoraat Human Capital Innovations,onderwijs,"Studenten, alumni en het werkveld van HBO-HRM, leven-lang-ontwikkelen-professionals en regionale werkgevers.","Hogeschool met sterk HRM-lectoraat en inhoudelijke onderzoeksbasis; potentieel zeer goede backlink-bron, mits via lectoraatpublicatie of blog.",Wetenschappelijk onderbouwde verbinding tussen zenuwstelsel-onderzoek en HRM-praktijk; samenwerking met lectoraat Human Capital Innovations.,gastauteur netwerk,niet gevonden,HAN lectoraat HRM en lectoraat Arbeid & Gezondheid - directe inhoudelijke match.,HAN HRM lectoraat blog publicatie,WebSearch,D
109,psychologiemagazine.nl,C11,4,0.62,HIGH (DR 60+),estimated,2025-04-15,https://www.psychologie.nl/artikel/5-misverstanden-over-pesten-sla-gewoon-terug-joh/,5 misverstanden over pesten,psycholoog,"Brede consumenten-doelgroep geinteresseerd in psychologie, mentale gezondheid en zelfontwikkeling.","Toonaangevend NL psychologie-platform met expert-content, accepteert proposals via redactie — sterke autoriteit, hoge doelgroep-relevantie.","Polyvagaal-theorie eenvoudig uitgelegd: hoe het zenuwstelsel mentale veerkracht stuurt, voor consumenten.",pitch via redactie,niet gevonden,Toonaangevend consumentenblad psychologie - accepteert journalistieke proposals via redactie.,Psychologie Magazine schrijven gastauteur,WebSearch,B
110,lerendeleiders.nl,C6,4,0.62,LOW (DR <30),estimated,2025-11-24,https://www.lerendeleiders.nl/persoonlijk-leiderschap,Artikel door Koos Groenewoud (Persoonlijk Leiderschap),coach,"Leiders en leidinggevenden die zich verdiepen in persoonlijk leiderschap, veranderprioriteit en rentmeesterschap; community-platform.",Heeft expliciet 'ook-bloggen'-pagina (open call voor gastauteurs!) over leiderschap — directe fit voor zenuwstelsel-bewust leiderschap.,Persoonlijk leiderschap begint in het zenuwstelsel: hoe leiders co-regulatie inzetten voor hun team.,open call|gastauteur netwerk,https://www.lerendeleiders.nl/ook-bloggen,Online community voor mensen die zich verdiepen in leiderschap,leiderschap blog Nederland gastauteur,WebSearch,B
111,fnv.nl,C15,3,0.615,HIGH (DR 60+),estimated,2026-01,https://www.fnv.nl/nieuwsbericht/algemeen-nieuws/2026/01/bezuinigingen-leiden-nooit-tot-breed-draagvlak,Bezuinigingen leiden nooit tot breed draagvlak,werkgever,"Werknemers, leden van vakbond FNV en sector-specifieke werknemersgroepen die werkdruk/cao-nieuws volgen.","Grote autoriteit en thema-match (1,3 mln Nederlanders met burn-out op FNV-agenda 2026) — gericht op werknemers, gastauteur via redactie zeldzaam.",Wat werknemers zelf kunnen doen aan zenuwstelsel-regulatie als sluitstuk op CAO-afspraken over werkdruk.,pitch via redactie,niet gevonden,FNV met uitgebreide content over werkdruk en burn-out voor sectoren en werkgevers.,FNV werkgever blog,WebSearch,B
112,arbeidsmarktplatformpo.nl,C15,3,0.615,MEDIUM (DR 30-60),estimated,2026-02,https://arbeidsmarktplatformpo.nl/nieuws/nieuwe-cao-afspraken-nu-beschikbaar-in-de-cao-po-app/,Nieuwe cao-afspraken nu beschikbaar in de CAO PO app,onderwijs,Schoolbestuurders en HR-functionarissen in primair onderwijs en onderzoekers/beleidsmakers rond werkdruk in PO.,Sterke thema-match (werkdruk leraren) maar publicaties zijn vooral eigen onderzoek/handreikingen — gastauteurs ongebruikelijk.,Zenuwstelsel-regulatie tegen werkdruk: praktische handreiking voor schoolbesturen om uitval onder leraren te verminderen.,pitch via redactie,niet gevonden,Expertisecentrum arbeidsmarkt primair onderwijs met onderzoeken over werkbelasting leraren.,Arbeidsmarktplatform PO leraar,WebSearch,B
113,coachfinder.nl,C11,3,0.615,MEDIUM (DR 30-60),estimated,2026-02-17,https://www.coachfinder.nl/,niet gevonden,coach,Consumenten en HR die een geverifieerde coach zoeken; platform van Psychologie Magazine met 800+ coaches.,"Platform gelinkt aan Psychologie Magazine, doelgroep coaches + zoekende consumenten — minder werkgever-focus, wel sterke autoriteit in coaching-NL.",Voor coaches/consumenten: hoe zenuwstelsel-regulatie als coaching-tool werkt bij stress en burn-out.,pitch via redactie,niet gevonden,Coachzoekplatform met informatieartikelen over beroepsverenigingen.,coach federatie Nederland blog,WebSearch,B
114,denkproducties.nl,C6,3,0.615,MEDIUM (DR 30-60),estimated,2026-09-18,https://www.denkproducties.nl/seminars/amsterdam-business-forum-2026,Amsterdam Business Forum 2026 | People Centered Leadership,ondernemer,"Leiders, ondernemers en directeuren die seminars en businessevents in Nederland bijwonen.",Sterke C-suite-doelgroep en blogcomponent rond leiderschap; eventblog vooral promotioneel — gastartikel mogelijk maar geen duidelijke open call.,People-centered leadership begint bij zenuwstelsel-regulatie: hoe topleiders zichzelf en hun team co-reguleren in onzekere tijden.,pitch via redactie,niet gevonden,Eventorganisator met blog over werkgeluk leiderschap en MT-thema's,"""BNR"" OR ""Quote"" OR ""Forbes Nederland"" ondernemers business leiderschap",WebSearch,D
115,othersideatwork.nl,C10,3,0.615,MEDIUM (DR 30-60),estimated,2026-02,https://www.othersideatwork.nl/actualiteiten,Compliance Monitor toegevoegd aan Xpert Suite (februari 2026),arbo,"Arbodiensten, bedrijfsartsen, casemanagers en werkgevers die Xpert Suite verzuimsoftware gebruiken.",Xpert Suite is leidende verzuimsoftware met klantverhalen en blog; content vooral product-/release-georienteerd; gastauteur mogelijk via klantverhaal-format.,Klantverhaal/casestudy: hoe organisaties met zenuwstelsel-perspectief verzuimcijfers in Xpert Suite zien dalen.,pitch via redactie,niet gevonden,Xpert Suite verzuimsoftware met klantverhalen en gedragsmatige visie op verzuim,verzuimsoftware blog Nederland werkgever,WebSearch,C
116,schoonmakendnederland.nl,C4,3,0.615,MEDIUM (DR 30-60),estimated,2026-05-22,https://www.schoonmakendnederland.nl/kennisbank/artikel/2026/05/22/nieuwsoverzicht-week-21-2026,Nieuwsoverzicht week 21 | 2026,werkgever,"Werkgevers in schoonmaakbranche en glazenwassers die brancheinfo, CAO en duurzame inzetbaarheid volgen.","Brancheorganisatie met actuele kennisbank, DI-thema — werkgevers in fysiek-belastende sector. Gastartikel via branche-experts mogelijk.",Zenuwstelsel-regulatie tegen fysieke en mentale belasting in schoonmaak: praktijkcase voor brancheleden.,pitch via redactie,niet gevonden,Brancheplatform schoonmaak met kennisbankartikelen incl. gastbijdragen vitaliteit.,arbodienst kennisbank vitaliteit,WebSearch,B
117,yoobi.nl,C10,3,0.615,MEDIUM (DR 30-60),estimated,2026-02-26,https://www.yoobi.nl/blog/de-arbeidsmarkt-verandert-wat-gebeurt-er-in-2026-en-2027,De arbeidsmarkt verandert: wat gebeurt er in 2026 en 2027,HR,"Projectmanagers, ondernemers en HR-medewerkers die uren-, planning- en HR-software gebruiken.",SaaS-vendor met arbeidsmarkt-/HR-blog; thematisch raakt het verzuim/loon-content maar de zenuwstelsel-hoek is een sprong.,Arbeidsmarkt 2026: hoe verzuim-data en zenuwstelsel-werk samen meer opleveren dan loonsverhogingen.,pitch via redactie,niet gevonden,Software voor uren verlof en HR met blog voor managers en HR,"""Tellow"" OR ""Exact"" OR ""Yoobi"" ondernemers blog HR personeel",WebSearch,A
118,deondernemer.nl,C5,4,0.605,HIGH (DR 60+),estimated,niet gevonden,niet gevonden,niet gevonden,ondernemer,MKB-ondernemers en zelfstandigen — breed Nederlandstalig ondernemersplatform van DPG Media.,Toonaangevend ondernemersmedium met personeelssectie; geen site:-hits maar het platform staat bekend om expertbijdragen en columns van ondernemers.,Ondernemer met personeel: hoe je zelf en je team uit de burn-outzone houdt via zenuwstelselregulatie.,pitch via redactie,niet gevonden,Vakmedia-platform voor ondernemers met categorie Personeel en podcasts,"""ondernemer.nl"" OR ""ikgastarten"" OR ""deondernemer.nl"" gastblog",WebSearch,F
119,aeno.nl,C9,4,0.605,MEDIUM (DR 30-60),estimated,2026,https://www.aeno.nl/wendbaar-vooruitkijken-naar-het-nieuwe-jaar,Wendbaar vooruitkijken naar het nieuwe jaar,HR,"HR-professionals, leidinggevenden en bestuurders bij Nederlandse gemeenten.","Sterke thematische match: vitaliteitsbeleid en duurzame inzetbaarheid bij gemeenten, doelgroep HR-managers; zenuwstelsel-regulatie sluit aan op verzuim-/welzijnsdossiers.","Zenuwstelsel-regulatie als praktische bouwsteen in vitaliteitsbeleid voor gemeentelijke HR, met focus op stress-/verzuimreductie bij medewerkers.",geen info gevonden,niet gevonden,A&O fonds Gemeenten met blog en kennisbank over vitaliteit en thuiswerken.,gemeente werkgevers vitaliteit blog,WebSearch,D
120,archipelacademy.com,C4,4,0.605,MEDIUM (DR 30-60),estimated,2026,https://www.archipelacademy.com/blog/mentale-veerkracht-als-skill-waarom-het-essentieel-is,Mentale veerkracht als skill: waarom het essentieel is,HR,"L&D- en HR-professionals die leerplatformen inzetten voor talentbehoud, mentale veerkracht en compliance-leren.",Recente artikelen over mentale veerkracht en talentbehoud passen direct bij burn-out/zenuwstelsel-thematiek voor HR-publiek.,Mentale veerkracht als skill: zenuwstelsel-regulatie als trainbare vaardigheid voor duurzame inzetbaarheid.,geen info gevonden,niet gevonden,Leerplatform met blogartikelen over vitaliteitsmanagement.,vitaliteitsmanager blog,WebSearch,E
121,bedrijfsfitnessnederland.nl,C2|C4,4,0.605,MEDIUM (DR 30-60),estimated,2025,https://www.bedrijfsfitnessnederland.nl/kennisbank/burn-outpreventie-via-employee-benefits-cijfers-oorzaken-en-oplossingen,"Burn-outpreventie via employee benefits: cijfers, oorzaken en oplossingen",HR,HR-managers en werkgevers die employee benefits inzetten als instrument voor vitaliteit en burn-outpreventie.,"Actuele kennisbank over burn-outpreventie met cijfers (Arbobalans 2025, RIVM) gericht op HR-werkgevers — sterke thema-match en publiceerd kennisartikelen.",Zenuwstelsel-regulatie als employee benefit: meetbare ROI voor werkgevers naast traditionele fitness/wellness-pakketten.,pitch via redactie,niet gevonden,Kennisbank met artikelen over burn-outpreventie en employee benefits.,burn-out preventie cijfers,WebSearch,B
122,coaching.nl,C11,4,0.605,MEDIUM (DR 30-60),estimated,2025-12-17,https://www.coaching.nl/coach/,Archief Coaches (laatste profielen tot dec 2025),coach,"Coaches en cliënten die op zoek zijn naar coachprofielen, tools en artikelen over persoonlijke ontwikkeling.",Landelijk coachingsplatform met content-archief en coach-profielen; open structuur voor expertbijdragen; thematisch goed passend bij zenuwstelsel/burn-out.,Zenuwstelsel-regulatie als toolkit voor coaches die werken met cliënten die uitvallen door werkstress.,gastauteur netwerk,niet gevonden,Landelijk coachingsplatform met artikelarchief en online tools - ruimte voor gastinhoud.,coaching platform Nederland gastauteur artikel,WebSearch,C
123,gezondinbedrijf.com,C7,4,0.605,MEDIUM (DR 30-60),estimated,2025,https://gezondinbedrijf.com/programma/230-opleiding-verzuim-vitaliteit,Opleiding Verzuim & Vitaliteit (2025-2026),HR,"Vitaliteitsmanagers, HR-professionals en bedrijfsmaatschappelijk werkers in NL.",Specialistische business school rond verzuim en vitaliteit met juiste doelgroep — sterke fit voor gastartikel.,Van vitaliteitsmodel naar zenuwstelsel-praktijk: drie tools die vitaliteitsmanagers direct kunnen inzetten tegen burn-out.,pitch via redactie,niet gevonden,Business school voor verzuim & vitaliteit met blog gericht op HR en leidinggevenden.,Zilveren Kruis werkgevers blog,WebSearch,A
124,gortcoaching.nl,C11,4,0.605,MEDIUM (DR 30-60),estimated,2026,https://gortcoaching.nl/het-gesprek-aan-gaan-over-werkdruk-een-praktische-gids-voor-leidinggevenden-en-hr/,Het gesprek aan gaan over werkdruk: een praktische gids voor leidinggevenden en HR,HR,"Werkgevers, leidinggevenden en HR die coaching, burn-out preventie en werkdruk-gesprekken willen aanpakken.","Actieve kennisbank rond burn-out, werkdruk en HR met zeer recente artikelen — sterke thematische match.",Quiet Quitting en werkdruk: zenuwstelsel-signalen die HR en leidinggevenden eerder moeten herkennen.,geen info gevonden,niet gevonden,Mental coachingsbureau met praktische werknemerstress-content.,mental coach blog NL stress werknemer,WebSearch,E
125,greatplacetowork.nl,C4|C6,4,0.605,MEDIUM (DR 30-60),estimated,2025,https://www.greatplacetowork.nl/inspiratie/blog/lees-en-luistertips-zomer-2025,5 lees- en luistertips voor de zomer van 2025,HR,"Werkgevers en HR die werkcultuur, employer branding en certificering willen verbeteren.",Bekend HR/werkgeverschap-merk met inspiratie-blog en werkstress-content — sterke autoriteit en juiste doelgroep.,Een great place to work begint bij een gereguleerd zenuwstelsel: hoe HR cultuur vormt vanuit lichaamsbewustzijn.,pitch via redactie,niet gevonden,Werkgeverscertificering met inspiratieblog over werkstress en burn-out.,burn-out blog werkgever,WebSearch,A
126,habeoplus.nl,C13,4,0.605,MEDIUM (DR 30-60),estimated,2026,https://habeoplus.nl/opleidingen/hrm/duurzame-inzetbaarheid/casemanagement-regie-op-verzuim-crov,Opleiding Casemanagement Regie op Verzuim,HR,"HR-professionals, casemanagers en leidinggevenden die zich willen na- of bijscholen op duurzame inzetbaarheid en verzuim.","Opleider met directe HR/casemanagement/verzuim-focus; zeer relevante doelgroep, redactionele blog onduidelijk maar opleidingencontent vormt expert-context.",Casemanagers regie laten voeren met zenuwstelsel-bril: van symptoomtracking naar duurzame inzetbaarheid.,geen info gevonden,niet gevonden,Habeo+ (Avans-gerelateerd) blog met HRM-masterthema's.,master HRM blog Nederland onderzoek werk,WebSearch,C
127,hrnavigator.nl,C2|C10,4,0.605,MEDIUM (DR 30-60),estimated,2025,https://hrnavigator.nl/blog/,Blog van HR-vergelijkingssite HR Navigator,HR,HR-managers en werkgevers die HR-diensten zoeken en informatie over verzuim/RI&E/wetgeving willen.,"HR-vergelijkingssite met dedicated blog over verzuim en HR-trends, gericht op werkgevers — gastartikel waarschijnlijk welkom, sterke commerciele/HR-context.",Hoe HR-managers zenuwstelsel-signalering inbouwen in verzuimprotocol om psychisch verzuim te verlagen.,pitch via redactie,niet gevonden,Praktisch HR-blog over verzuim met aandacht voor roze verzuim en burn-out signalering.,HR community blog verzuim,WebSearch,B
128,leiderschapeninzetbaarheid.nl,C2|C16,4,0.605,MEDIUM (DR 30-60),estimated,2025,https://leiderschapeninzetbaarheid.nl/blog,Kennisbank (overzichtspagina),HR,HR-professionals en leidinggevenden die zelfmanagement in health-management willen invoeren; initiatief van Mensely.,"Thematische kennisbank rond leiderschap, inzetbaarheid en verzuim; perfecte match voor zenuwstelsel-pitch.",Zenuwstelsel-bewust leiderschap: hoe leidinggevenden de inzetbaarheid van hun team direct kunnen beïnvloeden.,pitch via redactie,niet gevonden,Blog over leiderschap en verzuim/burn-out begeleiding door werkgevers.,HR community verzuim,WebSearch,E
129,loyalis.nl,C7,4,0.605,MEDIUM (DR 30-60),estimated,2025,https://www.loyalis.nl/zakelijk/nieuws/voorwaarden-vitaliteitsbudget-2026,Per 1-1-2026 wijzigen de voorwaarden Vitaliteitsbudget,werkgever,"Werkgevers in zorg, bouw, overheid en onderwijs met inkomensverzekering en vitaliteitsbudgetten.",Inkomensverzekeraar met sterke werkgeversfocus en expliciete vitaliteit/AOV-content — match voor verzuim-preventie pitch.,Hoe vitaliteitsbudget rendeert: zenuwstelsel-interventies die AOV-claims daadwerkelijk verminderen.,pitch via redactie,niet gevonden,Specialist inkomensverzekering met content voor werkgevers in zorg/bouw/onderwijs/overheid.,inkomensverzekeraar blog werkgever,WebSearch,A
130,publiekdenken.nl,C9,4,0.605,MEDIUM (DR 30-60),estimated,2025,https://specials.publiekdenken.nl/special-pilot-duurzame-cao-rijk-2025/voorwoord,Special pilot Duurzame CAO Rijk 2025,HR,"Ambtenaren, HR-professionals en bestuurders in rijks-, provincie- en gemeente-overheid.",Online magazine voor overheid met specials over duurzame inzetbaarheid en CAO Rijk — geschikte plek voor expertbijdrage over verzuim/welzijn ambtenaren.,Zenuwstelselregulatie als onderbouwing van vitaliteitsclausules in de Duurzame CAO Rijk.,pitch via redactie,niet gevonden,Online magazine voor publieke sector met content over A&O-fondsen.,A&O fonds Rijk blog,WebSearch,F
131,sazas.nl,C4,4,0.605,MEDIUM (DR 30-60),estimated,2025,https://www.sazas.nl/werkgever/nieuws-voor-werkgevers/2025/verzuim-voorkomen-en-verminderen-sazas-zet-verzuimtrends-2026-op-een-rij,Verzuimtrends 2026: om rekening mee te houden,werkgever,"Werkgevers en accountants met verzuimverzekering Sazas (De Goudse), focus op preventie en verzuimcijfers.","Verzuimverzekeraar met kennisbank over verzuim, preventie en trends — sterke thematische match.",Verzuimtrends 2026 voorbij: hoe zenuwstelsel-regulatie de meeste sectorspecifieke verzuim-categorieen raakt.,pitch via redactie,niet gevonden,Verzuimverzekeraar met uitgebreide kennisbank over vitaliteit en preventie.,vitaliteit werkgever blog,WebSearch,E
132,liberi.nl,C2,4,0.605,LOW (DR <30),estimated,2026-04-03,https://liberi.nl/,Pesso therapie en fundamentele basisbehoeften (april 2026),coach,Mensen met stress- en burn-outklachten en hun werkgevers die zoeken naar coaching en behandelaanbod.,"Burn-out specialist met regelmatige blog/podcast (Rasti Rostelli, Pesso); thematisch zeer sterk passend; peer/coach netwerk.","Pesso, polyvagaal en praktijk: hoe lichaamsgerichte therapieën convergeren rond zenuwstelsel-regulatie bij burn-out.",gastauteur netwerk,niet gevonden,Coachingplatform met burn-out en bedrijfsgezondheid artikelen voor HR.,burn-out HR coaching,WebSearch,C
